boro_cd,shape_area,shape_leng,pct_recyc_2018,pct_recyc_2009,pct_change,crime_count,crime_per_1000,fp_100_mhhi,fp_100_rent_burden,mean_commute,neighborhoods,over65_rate,pct_foreign_born,poverty_rate,under18_rate,unemployment_cd,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,BOROUGH_ID,year,total_recycled,percent_recycled
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4035.4,548.2,336,,3,2012,884.2,0.219110869
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4861.2,611.8,376.5,,3,2012,988.3,0.203303711
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4989.4,672.6,434.8,,3,2010,1107.4,0.221950535
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4939.7,684.7,414.8,,3,2010,1099.5,0.222584367
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,3540,554.6,347.8,,3,2010,902.4,0.254915254
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4888.2,642.5,344.8,,3,2011,987.3,0.201976188
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,3980.8,649.8,465.8,,3,2015,1115.6,0.280245177
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4649.3,614.1,429.2,,3,2015,1043.3,0.224399372
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4733.5,584,493.7,,3,2016,1077.7,0.227675082
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,5553.8,657.3,535.5,,3,2017,1192.8,0.214771868
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4837.3,606.6,488.5,,3,2016,1095.1,0.226386621
