year,boro_cd,total_recycled,total_refuse,pct_recycled_annum,pct_recycled_2009,pct_change,pct_point_change,fp_100_mhhi,pct_black_nh,pct_foreign_born,pct_hispanic,pct_white_nh,poverty_rate,unemployment_cd
2011-01-01,307,8918.7,41380.0,21.55316578057033,23.472366421402672,-8.176425871923886,-1.9192006408323437,25000.0,2.5,47.2,41.1,22.6,27.9,4.5
2012-01-01,307,8648.2,40129.3,21.55083691965721,23.472366421402672,-8.186347585275266,-1.9215295017454608,25000.0,2.5,47.2,41.1,22.6,27.9,4.5
2013-01-01,307,8847.300000000001,39917.700000000004,22.16385212574873,23.472366421402672,-5.574701213171284,-1.3085142956539428,25000.0,2.5,47.2,41.1,22.6,27.9,4.5
2014-01-01,307,9178.000000000002,39210.299999999996,23.40711496724076,23.472366421402672,-0.27799265310725074,-0.06525145416191336,25000.0,2.5,47.2,41.1,22.6,27.9,4.5
2015-01-01,307,9512.600000000002,39231.2,24.247537674096133,23.472366421402672,3.302484456729693,0.7751712526934611,25000.0,2.5,47.2,41.1,22.6,27.9,4.5
2016-01-01,307,9738.9,39574.4,24.609090725317376,23.472366421402672,4.842819354073358,1.1367243039147041,25000.0,2.5,47.2,41.1,22.6,27.9,4.5
2017-01-01,307,9886.500000000002,39346.5,25.126758415615118,23.472366421402672,7.048253953227013,1.654391994212446,25000.0,2.5,47.2,41.1,22.6,27.9,4.5
2018-01-01,307,9957.2,38878.799999999996,25.610872763562664,23.472366421402672,9.110740279727626,2.1385063421599924,25000.0,2.5,47.2,41.1,22.6,27.9,4.5
2019-01-01,307,8289.4,33015.2,25.107829121132085,23.472366421402672,6.967608933704095,1.6354626997294126,25000.0,2.5,47.2,41.1,22.6,27.9,4.5
2009-01-01,308,5187.599999999999,32830.100000000006,15.801353026643227,15.801353026643227,0.0,0.0,,58.1,29.3,12.6,21.6,20.4,5.1
2010-01-01,308,5151.4,32518.899999999998,15.841249242748063,15.801353026643227,0.2524860753225777,0.03989621610483596,,58.1,29.3,12.6,21.6,20.4,5.1
2011-01-01,308,5284.2,34155.0,15.471234079929733,15.801353026643227,-2.089181516018712,-0.33011894671349395,,58.1,29.3,12.6,21.6,20.4,5.1
2012-01-01,308,5086.700000000001,32913.8,15.454611743402463,15.801353026643227,-2.194377169196282,-0.3467412832407639,,58.1,29.3,12.6,21.6,20.4,5.1
2013-01-01,308,5173.1,32337.0,15.997464205090145,15.801353026643227,1.241103708753588,0.19611117844691783,,58.1,29.3,12.6,21.6,20.4,5.1
2014-01-01,308,5428.4,31986.2,16.971068773408533,15.801353026643227,7.402630298766222,1.1697157467653057,,58.1,29.3,12.6,21.6,20.4,5.1
2015-01-01,308,5750.1,31655.300000000003,18.164730708601716,15.801353026643227,14.95680577462901,2.3633776819584895,,58.1,29.3,12.6,21.6,20.4,5.1
2016-01-01,308,6115.4,31073.3,19.6805617684636,15.801353026643227,24.549851745477124,3.8792087418203742,,58.1,29.3,12.6,21.6,20.4,5.1
